customer_id,name,email,age,city,gender,signup_date,age_group
C0031,Customer_31,user31@example.com,59.0,Hyderabad,F,2022-01-31,Senior
C0032,Customer_32,user32@example.com,45.0,Pune,M,2022-02-01,Senior
C0033,Customer_33,user33@example.com,33.0,Kolkata,F,2022-02-02,Adult
C0034,Customer_34,user34@example.com,32.0,Chennai,Other,2022-02-03,Adult
C0035,Customer_35,user35@example.com,64.0,Bengaluru,F,2022-02-04,Senior
C0036,Customer_36,user36@example.com,61.0,Mumbai,M,2022-02-05,Senior
C0037,Customer_37,user37@example.com,20.0,Mumbai,M,2022-02-06,Youth
C0038,Customer_38,user38@example.com,54.0,Bengaluru,Other,2022-02-07,Senior
C0039,Customer_39,user39@example.com,24.0,Delhi,F,2022-02-08,Youth
C0040,Customer_40,user40@example.com,38.0,Chennai,F,2022-02-09,Adult
C0041,Customer_41,user41@example.com,26.0,Bengaluru,F,2022-02-10,Adult
C0042,Customer_42,user42@example.com,56.0,Mumbai,M,2022-02-11,Senior
C0043,Customer_43,user43@example.com,35.0,Mumbai,M,2022-02-12,Adult
C0044,Customer_44,user44@example.com,21.0,Chennai,F,2022-02-13,Youth
C0045,Customer_45,user45@example.com,42.0,Hyderabad,M,2022-02-14,Adult
C0046,Customer_46,user46@example.com,31.0,Bengaluru,M,2022-02-15,Adult
C0047,Customer_47,user47@example.com,26.0,Pune,F,2022-02-16,Adult
C0048,Customer_48,user48@example.com,43.0,Kolkata,M,2022-02-17,Adult
C0049,Customer_49,user49@example.com,42.0,Bengaluru,F,2022-02-18,Adult
C0050,Customer_50,user50@example.com,37.0,Hyderabad,Unknown,2022-02-19,Adult
C0051,Customer_51,user51@example.com,45.0,Chennai,Other,2022-02-20,Senior
C0052,Customer_52,user52@example.com,64.0,Chennai,Unknown,2022-02-21,Senior
C0053,Customer_53,user53@example.com,24.0,Mumbai,M,2022-02-22,Youth
C0054,Customer_54,user54@example.com,61.0,Hyderabad,Other,2022-02-23,Senior
C0055,Customer_55,user55@example.com,25.0,Chennai,F,2022-02-24,Adult
C0056,Customer_56,user56@example.com,64.0,Delhi,Other,2022-02-25,Senior
C0057,Customer_57,user57@example.com,52.0,Bengaluru,M,2022-02-26,Senior
C0058,Customer_58,user58@example.com,31.0,Mumbai,F,2022-02-27,Adult
C0059,Customer_59,user59@example.com,34.0,Pune,M,2022-02-28,Adult
C0060,Customer_60,user60@example.com,53.0,Hyderabad,Other,2022-03-01,Senior
C0061,Customer_61,user61@example.com,57.0,Mumbai,F,2022-03-02,Senior
C0062,Customer_62,user62@example.com,21.0,Chennai,Other,2022-03-03,Youth
C0063,Customer_63,user63@example.com,19.0,Kolkata,Other,2022-03-04,Youth
C0064,Customer_64,user64@example.com,23.0,Chennai,F,2022-03-05,Youth
C0065,Customer_65,user65@example.com,59.0,Pune,Unknown,2022-03-06,Senior
C0066,Customer_66,user66@example.com,21.0,Pune,M,2022-03-07,Youth
C0067,Customer_67,user67@example.com,46.0,Pune,Other,2022-03-08,Senior
C0068,Customer_68,user68@example.com,35.0,Pune,Unknown,2022-03-09,Adult
C0069,Customer_69,user69@example.com,43.0,Pune,M,2022-03-10,Adult
C0070,Customer_70,user70@example.com,61.0,Delhi,Other,2022-03-11,Senior
C0071,Customer_71,user71@example.com,42.0,Bengaluru,Unknown,2022-03-12,Adult
C0072,Customer_72,user72@example.com,27.0,Hyderabad,F,2022-03-13,Adult
C0073,Customer_73,user73@example.com,53.0,Mumbai,M,2022-03-14,Senior
C0074,Customer_74,user74@example.com,31.0,Pune,M,2022-03-15,Adult
C0075,Customer_75,user75@example.com,48.0,Bengaluru,M,2022-03-16,Senior
C0076,Customer_76,user76@example.com,32.0,Chennai,F,2022-03-17,Adult
C0077,Customer_77,user77@example.com,42.0,Bengaluru,F,2022-03-18,Adult
C0078,Customer_78,user78@example.com,31.0,Pune,F,2022-03-19,Adult
C0079,Customer_79,user79@example.com,40.0,Kolkata,Other,2022-03-20,Adult
C0080,Customer_80,user80@example.com,57.0,Mumbai,F,2022-03-21,Senior
C0081,Customer_81,user81@example.com,38.0,Pune,M,2022-03-22,Adult
C0082,Customer_82,user82@example.com,33.0,Bengaluru,F,2022-03-23,Adult
C0083,Customer_83,user83@example.com,62.0,Chennai,F,2022-03-24,Senior
C0084,Customer_84,user84@example.com,35.0,Bengaluru,M,2022-03-25,Adult
C0085,Customer_85,user85@example.com,64.0,Pune,Other,2022-03-26,Senior
C0086,Customer_86,user86@example.com,41.0,Hyderabad,F,2022-03-27,Adult
C0087,Customer_87,user87@example.com,43.0,Bengaluru,Other,2022-03-28,Adult
C0088,Customer_88,user88@example.com,42.0,Hyderabad,Other,2022-03-29,Adult
C0089,Customer_89,user89@example.com,62.0,Pune,Other,2022-03-30,Senior
C0090,Customer_90,user90@example.com,58.0,Bengaluru,M,2022-03-31,Senior
C0091,Customer_91,user91@example.com,46.0,Chennai,Other,2022-04-01,Senior
C0092,Customer_92,user92@example.com,32.0,Delhi,Other,2022-04-02,Adult
C0093,Customer_93,user93@example.com,62.0,Delhi,M,2022-04-03,Senior
C0094,Customer_94,user94@example.com,18.0,Hyderabad,Other,2022-04-04,Youth
C0095,Customer_95,user95@example.com,42.0,Pune,Other,2022-04-05,Adult
C0096,Customer_96,user96@example.com,24.0,Hyderabad,M,2022-04-06,Youth
C0097,Customer_97,user97@example.com,42.0,Pune,M,2022-04-07,Adult
C0098,Customer_98,user98@example.com,41.0,Pune,F,2022-04-08,Adult
C0099,Customer_99,user99@example.com,18.0,Delhi,F,2022-04-09,Youth
C0100,Customer_100,user100@example.com,61.0,Chennai,F,2022-04-10,Senior
C0101,Customer_101,user101@example.com,25.0,Chennai,Other,2022-04-11,Adult
C0102,Customer_102,user102@example.com,42.0,Bengaluru,Unknown,2022-04-12,Adult
C0103,Customer_103,user103@example.com,28.0,Hyderabad,Other,2022-04-13,Adult
C0104,Customer_104,user104@example.com,34.0,Chennai,M,2022-04-14,Adult
C0105,Customer_105,user105@example.com,25.0,Kolkata,Unknown,2022-04-15,Adult
C0106,Customer_106,user106@example.com,52.0,Mumbai,F,2022-04-16,Senior
C0107,Customer_107,user107@example.com,52.0,Bengaluru,M,2022-04-17,Senior
C0108,Customer_108,user108@example.com,50.0,Bengaluru,M,2022-04-18,Senior
C0109,Customer_109,user109@example.com,22.0,Delhi,M,2022-04-19,Youth
C0110,Customer_110,user110@example.com,59.0,Hyderabad,F,2022-04-20,Senior
C0111,Customer_111,user111@example.com,56.0,Kolkata,F,2022-04-21,Senior
C0112,Customer_112,user112@example.com,58.0,Chennai,F,2022-04-22,Senior
C0113,Customer_113,user113@example.com,45.0,Chennai,M,2022-04-23,Senior
C0114,Customer_114,user114@example.com,24.0,Pune,M,2022-04-24,Youth
C0115,Customer_115,user115@example.com,26.0,Bengaluru,Other,2022-04-25,Adult
C0116,Customer_116,user116@example.com,42.0,Hyderabad,Other,2022-04-26,Adult
C0117,Customer_117,user117@example.com,29.0,Hyderabad,F,2022-04-27,Adult
C0118,Customer_118,user118@example.com,51.0,Hyderabad,M,2022-04-28,Senior
C0119,Customer_119,user119@example.com,50.0,Pune,Other,2022-04-29,Senior
C0120,Customer_120,user120@example.com,40.0,Delhi,F,2022-04-30,Adult
C0121,Customer_121,user121@example.com,41.0,Chennai,Unknown,2022-05-01,Adult
C0122,Customer_122,user122@example.com,54.0,Hyderabad,Other,2022-05-02,Senior
C0123,Customer_123,user123@example.com,52.0,Kolkata,F,2022-05-03,Senior
C0124,Customer_124,user124@example.com,61.0,Kolkata,M,2022-05-04,Senior
C0125,Customer_125,user125@example.com,57.0,Pune,F,2022-05-05,Senior
C0126,Customer_126,user126@example.com,39.0,Delhi,M,2022-05-06,Adult
C0127,Customer_127,user127@example.com,44.0,Pune,M,2022-05-07,Adult
C0128,Customer_128,user128@example.com,42.0,Mumbai,Other,2022-05-08,Adult
C0129,Customer_129,user129@example.com,18.0,Bengaluru,Other,2022-05-09,Youth
C0130,Customer_130,user130@example.com,52.0,Chennai,Other,2022-05-10,Senior
C0131,Customer_131,user131@example.com,42.0,Pune,F,2022-05-11,Adult
C0132,Customer_132,user132@example.com,64.0,Pune,Other,2022-05-12,Senior
C0133,Customer_133,user133@example.com,31.0,Chennai,Other,2022-05-13,Adult
C0134,Customer_134,user134@example.com,20.0,Bengaluru,F,2022-05-14,Youth
C0135,Customer_135,user135@example.com,42.0,Mumbai,Other,2022-05-15,Adult
C0136,Customer_136,user136@example.com,22.0,Kolkata,F,2022-05-16,Youth
C0137,Customer_137,user137@example.com,43.0,Kolkata,F,2022-05-17,Adult
C0138,Customer_138,user138@example.com,31.0,Delhi,M,2022-05-18,Adult
C0139,Customer_139,user139@example.com,56.0,Pune,M,2022-05-19,Senior
C0140,Customer_140,user140@example.com,44.0,Bengaluru,Other,2022-05-20,Adult
C0141,Customer_141,user141@example.com,26.0,Delhi,F,2022-05-21,Adult
C0142,Customer_142,user142@example.com,32.0,Kolkata,M,2022-05-22,Adult
C0143,Customer_143,user143@example.com,32.0,Delhi,M,2022-05-23,Adult
C0144,Customer_144,user144@example.com,43.0,Delhi,M,2022-05-24,Adult
C0145,Customer_145,user145@example.com,59.0,Mumbai,M,2022-05-25,Senior
C0146,Customer_146,user146@example.com,30.0,Mumbai,Other,2022-05-26,Adult
C0147,Customer_147,user147@example.com,49.0,Delhi,M,2022-05-27,Senior
C0148,Customer_148,user148@example.com,56.0,Hyderabad,Other,2022-05-28,Senior
C0149,Customer_149,user149@example.com,49.0,Chennai,F,2022-05-29,Senior
C0150,Customer_150,user150@example.com,21.0,Kolkata,Other,2022-05-30,Youth
C0151,Customer_151,user151@example.com,47.0,Kolkata,M,2022-05-31,Senior
C0152,Customer_152,user152@example.com,54.0,Mumbai,F,2022-06-01,Senior
C0153,Customer_153,user153@example.com,40.0,Hyderabad,F,2022-06-02,Adult
C0154,Customer_154,user154@example.com,56.0,Hyderabad,Other,2022-06-03,Senior
C0155,Customer_155,user155@example.com,62.0,Pune,F,2022-06-04,Senior
C0156,Customer_156,user156@example.com,32.0,Chennai,Other,2022-06-05,Adult
C0157,Customer_157,user157@example.com,42.0,Delhi,F,2022-06-06,Adult
C0158,Customer_158,user158@example.com,46.0,Pune,Other,2022-06-07,Senior
C0159,Customer_159,user159@example.com,42.0,Pune,M,2022-06-08,Adult
C0160,Customer_160,user160@example.com,30.0,Hyderabad,Other,2022-06-09,Adult
C0161,Customer_161,user161@example.com,49.0,Hyderabad,Other,2022-06-10,Senior
C0162,Customer_162,user162@example.com,24.0,Hyderabad,M,2022-06-11,Youth
C0163,Customer_163,user163@example.com,39.0,Delhi,Other,2022-06-12,Adult
C0164,Customer_164,user164@example.com,45.0,Delhi,Other,2022-06-13,Senior
C0165,Customer_165,user165@example.com,19.0,Pune,F,2022-06-14,Youth
C0166,Customer_166,user166@example.com,59.0,Pune,Other,2022-06-15,Senior
C0167,Customer_167,user167@example.com,62.0,Mumbai,F,2022-06-16,Senior
C0168,Customer_168,user168@example.com,23.0,Kolkata,M,2022-06-17,Youth
C0169,Customer_169,user169@example.com,45.0,Kolkata,F,2022-06-18,Senior
C0170,Customer_170,user170@example.com,45.0,Kolkata,F,2022-06-19,Senior
C0171,Customer_171,user171@example.com,61.0,Mumbai,M,2022-06-20,Senior
C0172,Customer_172,user172@example.com,42.0,Kolkata,F,2022-06-21,Adult
C0173,Customer_173,user173@example.com,37.0,Hyderabad,M,2022-06-22,Adult
C0174,Customer_174,user174@example.com,47.0,Delhi,Other,2022-06-23,Senior
C0175,Customer_175,user175@example.com,28.0,Delhi,Other,2022-06-24,Adult
C0176,Customer_176,user176@example.com,42.0,Kolkata,F,2022-06-25,Adult
C0177,Customer_177,user177@example.com,42.0,Pune,Other,2022-06-26,Adult
C0178,Customer_178,user178@example.com,56.0,Chennai,M,2022-06-27,Senior
C0179,Customer_179,user179@example.com,50.0,Hyderabad,Other,2022-06-28,Senior
C0180,Customer_180,user180@example.com,18.0,Mumbai,M,2022-06-29,Youth
C0181,Customer_181,user181@example.com,44.0,Chennai,Unknown,2022-06-30,Adult
C0182,Customer_182,user182@example.com,30.0,Delhi,F,2022-07-01,Adult
C0183,Customer_183,user183@example.com,58.0,Kolkata,Other,2022-07-02,Senior
C0184,Customer_184,user184@example.com,20.0,Mumbai,Other,2022-07-03,Youth
C0185,Customer_185,user185@example.com,56.0,Hyderabad,Other,2022-07-04,Senior
C0186,Customer_186,user186@example.com,23.0,Delhi,M,2022-07-05,Youth
C0187,Customer_187,user187@example.com,25.0,Kolkata,M,2022-07-06,Adult
C0188,Customer_188,user188@example.com,44.0,Hyderabad,F,2022-07-07,Adult
C0189,Customer_189,user189@example.com,26.0,Pune,M,2022-07-08,Adult
C0190,Customer_190,user190@example.com,54.0,Chennai,Other,2022-07-09,Senior
C0191,Customer_191,user191@example.com,50.0,Chennai,Other,2022-07-10,Senior
C0192,Customer_192,user192@example.com,59.0,Chennai,Unknown,2022-07-11,Senior
C0193,Customer_193,user193@example.com,61.0,Bengaluru,Unknown,2022-07-12,Senior
C0194,Customer_194,user194@example.com,41.0,Kolkata,F,2022-07-13,Adult
C0195,Customer_195,user195@example.com,32.0,Hyderabad,F,2022-07-14,Adult
C0196,Customer_196,user196@example.com,49.0,Chennai,M,2022-07-15,Senior
C0197,Customer_197,user197@example.com,49.0,Kolkata,M,2022-07-16,Senior
C0198,Customer_198,user198@example.com,41.0,Pune,F,2022-07-17,Adult
C0199,Customer_199,user199@example.com,58.0,Chennai,F,2022-07-18,Senior
C0200,Customer_200,user200@example.com,29.0,Hyderabad,M,2022-07-19,Adult
C0201,Customer_201,user201@example.com,56.0,Kolkata,M,2022-07-20,Senior
C0202,Customer_202,user202@example.com,19.0,Chennai,M,2022-07-21,Youth
C0203,Customer_203,user203@example.com,20.0,Hyderabad,Other,2022-07-22,Youth
C0204,Customer_204,user204@example.com,42.0,Delhi,M,2022-07-23,Adult
C0205,Customer_205,user205@example.com,34.0,Pune,M,2022-07-24,Adult
C0206,Customer_206,user206@example.com,19.0,Kolkata,Other,2022-07-25,Youth
C0207,Customer_207,user207@example.com,19.0,Hyderabad,Unknown,2022-07-26,Youth
C0208,Customer_208,user208@example.com,45.0,Hyderabad,M,2022-07-27,Senior
C0209,Customer_209,user209@example.com,40.0,Bengaluru,Other,2022-07-28,Adult
C0210,Customer_210,user210@example.com,42.0,Kolkata,M,2022-07-29,Adult
C0211,Customer_211,user211@example.com,49.0,Delhi,M,2022-07-30,Senior
C0212,Customer_212,user212@example.com,50.0,Kolkata,Other,2022-07-31,Senior
C0213,Customer_213,user213@example.com,18.0,Pune,F,2022-08-01,Youth
C0214,Customer_214,user214@example.com,42.0,Bengaluru,Other,2022-08-02,Adult
C0215,Customer_215,user215@example.com,19.0,Kolkata,M,2022-08-03,Youth
C0216,Customer_216,user216@example.com,61.0,Kolkata,F,2022-08-04,Senior
C0217,Customer_217,user217@example.com,43.0,Chennai,Other,2022-08-05,Adult
C0218,Customer_218,user218@example.com,49.0,Hyderabad,Other,2022-08-06,Senior
C0219,Customer_219,user219@example.com,23.0,Pune,F,2022-08-07,Youth
C0220,Customer_220,user220@example.com,49.0,Delhi,M,2022-08-08,Senior
C0221,Customer_221,user221@example.com,21.0,Bengaluru,Other,2022-08-09,Youth
C0222,Customer_222,user222@example.com,28.0,Hyderabad,Other,2022-08-10,Adult
C0223,Customer_223,user223@example.com,34.0,Mumbai,Other,2022-08-11,Adult
C0224,Customer_224,user224@example.com,55.0,Pune,M,2022-08-12,Senior
C0225,Customer_225,user225@example.com,41.0,Bengaluru,Other,2022-08-13,Adult
C0226,Customer_226,user226@example.com,22.0,Delhi,Unknown,2022-08-14,Youth
C0227,Customer_227,user227@example.com,51.0,Bengaluru,F,2022-08-15,Senior
C0228,Customer_228,user228@example.com,23.0,Bengaluru,Other,2022-08-16,Youth
C0229,Customer_229,user229@example.com,39.0,Bengaluru,Other,2022-08-17,Adult
C0230,Customer_230,user230@example.com,28.0,Chennai,F,2022-08-18,Adult
C0231,Customer_231,user231@example.com,42.0,Mumbai,F,2022-08-19,Adult
C0232,Customer_232,user232@example.com,50.0,Delhi,Other,2022-08-20,Senior
C0233,Customer_233,user233@example.com,26.0,Delhi,F,2022-08-21,Adult
C0234,Customer_234,user234@example.com,23.0,Delhi,M,2022-08-22,Youth
C0235,Customer_235,user235@example.com,33.0,Hyderabad,M,2022-08-23,Adult
C0236,Customer_236,user236@example.com,46.0,Pune,M,2022-08-24,Senior
C0237,Customer_237,user237@example.com,20.0,Delhi,M,2022-08-25,Youth
C0238,Customer_238,user238@example.com,42.0,Pune,F,2022-08-26,Adult
C0239,Customer_239,user239@example.com,53.0,Delhi,M,2022-08-27,Senior
C0240,Customer_240,user240@example.com,36.0,Mumbai,Other,2022-08-28,Adult
C0241,Customer_241,user241@example.com,43.0,Hyderabad,Other,2022-08-29,Adult
C0242,Customer_242,user242@example.com,20.0,Hyderabad,M,2022-08-30,Youth
C0243,Customer_243,user243@example.com,36.0,Bengaluru,Other,2022-08-31,Adult
C0244,Customer_244,user244@example.com,37.0,Chennai,M,2022-09-01,Adult
C0245,Customer_245,user245@example.com,42.0,Hyderabad,M,2022-09-02,Adult
C0246,Customer_246,user246@example.com,24.0,Hyderabad,M,2022-09-03,Youth
C0247,Customer_247,user247@example.com,58.0,Mumbai,Other,2022-09-04,Senior
C0248,Customer_248,user248@example.com,42.0,Delhi,Other,2022-09-05,Adult
C0249,Customer_249,user249@example.com,57.0,Kolkata,M,2022-09-06,Senior
C0250,Customer_250,user250@example.com,56.0,Hyderabad,M,2022-09-07,Senior
C0251,Customer_251,user251@example.com,35.0,Hyderabad,M,2022-09-08,Adult
C0252,Customer_252,user252@example.com,57.0,Kolkata,M,2022-09-09,Senior
C0253,Customer_253,user253@example.com,18.0,Chennai,F,2022-09-10,Youth
C0254,Customer_254,user254@example.com,28.0,Pune,M,2022-09-11,Adult
C0255,Customer_255,user255@example.com,45.0,Mumbai,Other,2022-09-12,Senior
C0256,Customer_256,user256@example.com,42.0,Kolkata,M,2022-09-13,Adult
C0257,Customer_257,user257@example.com,40.0,Kolkata,F,2022-09-14,Adult
C0258,Customer_258,user258@example.com,48.0,Chennai,Other,2022-09-15,Senior
C0259,Customer_259,user259@example.com,47.0,Hyderabad,F,2022-09-16,Senior
C0260,Customer_260,user260@example.com,42.0,Hyderabad,M,2022-09-17,Adult
C0261,Customer_261,user261@example.com,52.0,Mumbai,Other,2022-09-18,Senior
C0262,Customer_262,user262@example.com,24.0,Bengaluru,M,2022-09-19,Youth
C0263,Customer_263,user263@example.com,42.0,Bengaluru,Other,2022-09-20,Adult
C0264,Customer_264,user264@example.com,43.0,Kolkata,Other,2022-09-21,Adult
C0265,Customer_265,user265@example.com,19.0,Hyderabad,Other,2022-09-22,Youth
C0266,Customer_266,user266@example.com,18.0,Kolkata,F,2022-09-23,Youth
C0267,Customer_267,user267@example.com,29.0,Kolkata,M,2022-09-24,Adult
C0268,Customer_268,user268@example.com,22.0,Hyderabad,F,2022-09-25,Youth
C0269,Customer_269,user269@example.com,54.0,Chennai,Unknown,2022-09-26,Senior
C0270,Customer_270,user270@example.com,49.0,Pune,M,2022-09-27,Senior
C0271,Customer_271,user271@example.com,26.0,Pune,M,2022-09-28,Adult
C0272,Customer_272,user272@example.com,58.0,Chennai,M,2022-09-29,Senior
C0273,Customer_273,user273@example.com,52.0,Kolkata,Other,2022-09-30,Senior
C0274,Customer_274,user274@example.com,36.0,Chennai,F,2022-10-01,Adult
C0275,Customer_275,user275@example.com,33.0,Delhi,F,2022-10-02,Adult
C0276,Customer_276,user276@example.com,20.0,Hyderabad,F,2022-10-03,Youth
C0277,Customer_277,user277@example.com,37.0,Delhi,F,2022-10-04,Adult
C0278,Customer_278,user278@example.com,41.0,Bengaluru,F,2022-10-05,Adult
C0279,Customer_279,user279@example.com,50.0,Hyderabad,Other,2022-10-06,Senior
C0280,Customer_280,user280@example.com,41.0,Hyderabad,M,2022-10-07,Adult
C0281,Customer_281,user281@example.com,28.0,Mumbai,Other,2022-10-08,Adult
C0282,Customer_282,user282@example.com,42.0,Hyderabad,Other,2022-10-09,Adult
C0283,Customer_283,user283@example.com,53.0,Bengaluru,Other,2022-10-10,Senior
C0284,Customer_284,user284@example.com,55.0,Pune,Unknown,2022-10-11,Senior
C0285,Customer_285,user285@example.com,57.0,Pune,M,2022-10-12,Senior
C0286,Customer_286,user286@example.com,37.0,Kolkata,F,2022-10-13,Adult
C0287,Customer_287,user287@example.com,42.0,Hyderabad,Other,2022-10-14,Adult
C0288,Customer_288,user288@example.com,42.0,Pune,F,2022-10-15,Adult
C0289,Customer_289,user289@example.com,52.0,Delhi,M,2022-10-16,Senior
C0290,Customer_290,user290@example.com,42.0,Kolkata,M,2022-10-17,Adult
C0291,Customer_291,user291@example.com,46.0,Hyderabad,M,2022-10-18,Senior
C0292,Customer_292,user292@example.com,35.0,Delhi,M,2022-10-19,Adult
C0293,Customer_293,user293@example.com,63.0,Chennai,Other,2022-10-20,Senior
C0294,Customer_294,user294@example.com,35.0,Chennai,F,2022-10-21,Adult
C0295,Customer_295,user295@example.com,19.0,Mumbai,M,2022-10-22,Youth
C0296,Customer_296,user296@example.com,42.0,Hyderabad,F,2022-10-23,Adult
C0297,Customer_297,user297@example.com,33.0,Chennai,M,2022-10-24,Adult
C0298,Customer_298,user298@example.com,58.0,Chennai,F,2022-10-25,Senior
C0299,Customer_299,user299@example.com,42.0,Pune,F,2022-10-26,Adult
C0300,Customer_300,user300@example.com,50.0,Mumbai,M,2022-10-27,Senior
C0301,Customer_301,user301@example.com,21.0,Mumbai,M,2022-10-28,Youth
C0302,Customer_302,user302@example.com,50.0,Pune,F,2022-10-29,Senior
C0303,Customer_303,user303@example.com,31.0,Hyderabad,Other,2022-10-30,Adult
C0304,Customer_304,user304@example.com,38.0,Delhi,M,2022-10-31,Adult
C0305,Customer_305,user305@example.com,37.0,Kolkata,M,2022-11-01,Adult
C0306,Customer_306,user306@example.com,25.0,Hyderabad,Other,2022-11-02,Adult
C0307,Customer_307,user307@example.com,24.0,Delhi,Other,2022-11-03,Youth
C0308,Customer_308,user308@example.com,20.0,Mumbai,M,2022-11-04,Youth
C0309,Customer_309,user309@example.com,34.0,Bengaluru,M,2022-11-05,Adult
C0310,Customer_310,user310@example.com,50.0,Hyderabad,M,2022-11-06,Senior
C0311,Customer_311,user311@example.com,29.0,Bengaluru,M,2022-11-07,Adult
C0312,Customer_312,user312@example.com,39.0,Delhi,F,2022-11-08,Adult
C0313,Customer_313,user313@example.com,39.0,Hyderabad,F,2022-11-09,Adult
C0314,Customer_314,user314@example.com,63.0,Bengaluru,F,2022-11-10,Senior
C0315,Customer_315,user315@example.com,47.0,Bengaluru,Unknown,2022-11-11,Senior
C0316,Customer_316,user316@example.com,55.0,Kolkata,F,2022-11-12,Senior
C0317,Customer_317,user317@example.com,55.0,Hyderabad,M,2022-11-13,Senior
C0318,Customer_318,user318@example.com,62.0,Bengaluru,M,2022-11-14,Senior
C0319,Customer_319,user319@example.com,25.0,Kolkata,F,2022-11-15,Adult
C0320,Customer_320,user320@example.com,44.0,Kolkata,M,2022-11-16,Adult
C0321,Customer_321,user321@example.com,44.0,Hyderabad,F,2022-11-17,Adult
C0322,Customer_322,user322@example.com,42.0,Bengaluru,F,2022-11-18,Adult
C0323,Customer_323,user323@example.com,38.0,Kolkata,F,2022-11-19,Adult
C0324,Customer_324,user324@example.com,47.0,Mumbai,F,2022-11-20,Senior
C0325,Customer_325,user325@example.com,50.0,Hyderabad,F,2022-11-21,Senior
C0326,Customer_326,user326@example.com,45.0,Mumbai,Other,2022-11-22,Senior
C0327,Customer_327,user327@example.com,64.0,Pune,Other,2022-11-23,Senior
C0328,Customer_328,user328@example.com,50.0,Chennai,Other,2022-11-24,Senior
C0329,Customer_329,user329@example.com,22.0,Mumbai,Other,2022-11-25,Youth
C0330,Customer_330,user330@example.com,36.0,Bengaluru,Other,2022-11-26,Adult
C0331,Customer_331,user331@example.com,21.0,Delhi,F,2022-11-27,Youth
C0332,Customer_332,user332@example.com,52.0,Pune,M,2022-11-28,Senior
C0333,Customer_333,user333@example.com,34.0,Mumbai,Unknown,2022-11-29,Adult
C0334,Customer_334,user334@example.com,61.0,Kolkata,F,2022-11-30,Senior
C0335,Customer_335,user335@example.com,45.0,Pune,M,2022-12-01,Senior
C0336,Customer_336,user336@example.com,47.0,Mumbai,M,2022-12-02,Senior
C0337,Customer_337,user337@example.com,46.0,Kolkata,Other,2022-12-03,Senior
C0338,Customer_338,user338@example.com,63.0,Mumbai,Other,2022-12-04,Senior
C0339,Customer_339,user339@example.com,23.0,Delhi,Other,2022-12-05,Youth
C0340,Customer_340,user340@example.com,52.0,Delhi,M,2022-12-06,Senior
C0341,Customer_341,user341@example.com,58.0,Kolkata,Other,2022-12-07,Senior
C0342,Customer_342,user342@example.com,54.0,Mumbai,F,2022-12-08,Senior
C0343,Customer_343,user343@example.com,41.0,Chennai,M,2022-12-09,Adult
C0344,Customer_344,user344@example.com,46.0,Delhi,M,2022-12-10,Senior
C0345,Customer_345,user345@example.com,63.0,Delhi,Other,2022-12-11,Senior
C0346,Customer_346,user346@example.com,48.0,Delhi,F,2022-12-12,Senior
